session_id,s3_location,file_match,num_file_matches,asset_type_match,num_asset_type_matches
multiplane-ophys_719363_2024-04-25_09-17-21,s3://aind-private-data-prod-o5171v/multiplane-ophys_719363_2024-04-25_09-17-21,False,0,False,0
multiplane-ophys_719363_2024-04-26_09-39-57,s3://aind-private-data-prod-o5171v/multiplane-ophys_719363_2024-04-26_09-39-57,True,1,False,0
multiplane-ophys_719363_2024-05-09_08-53-26,,False,0,False,0
multiplane-ophys_719363_2024-05-30_08-57-21,s3://aind-private-data-prod-o5171v/multiplane-ophys_719363_2024-05-30_08-57-21,True,1,False,0
multiplane-ophys_719363_2024-06-03_08-24-41,s3://aind-private-data-prod-o5171v/multiplane-ophys_719363_2024-06-03_08-24-41,False,0,False,0
multiplane-ophys_719363_2024-06-05_08-40-40,,False,0,False,0
multiplane-ophys_662680_2023-04-11_09-18-00,,False,0,False,0
multiplane-ophys_662680_2023-04-11_10-34-42,,False,0,False,0
multiplane-ophys_729088_2024-06-03_10-14-20,s3://aind-private-data-prod-o5171v/multiplane-ophys_729088_2024-06-03_10-14-20,True,1,False,0
multiplane-ophys_729088_2024-06-04_10-26-56,s3://aind-private-data-prod-o5171v/multiplane-ophys_729088_2024-06-04_10-26-56,False,0,False,0
multiplane-ophys_729088_2024-06-05_11-11-03,,False,0,False,0
multiplane-ophys_729088_2024-06-07_08-58-13,,False,0,False,0
multiplane-ophys_729088_2024-06-10_09-47-15,,False,0,False,0
multiplane-ophys_729088_2024-06-11_08-34-49,s3://aind-private-data-prod-o5171v/multiplane-ophys_729088_2024-06-11_08-34-49,False,0,False,0
multiplane-ophys_777655_2024-12-23_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777655_2024-12-23_15-30-39,False,0,False,0
multiplane-ophys_777655_2024-12-31_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777655_2024-12-31_15-30-39,False,0,False,0
multiplane-ophys_777655_2025-01-07_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_777655_2025-01-07_15-30-39,False,0,False,0
multiplane-ophys_762818_2024-12-17_09-04-07,s3://aind-private-data-prod-o5171v/multiplane-ophys_762818_2024-12-17_09-04-07,True,1,False,0
multiplane-ophys_762818_2024-12-18_11-17-24,s3://aind-private-data-prod-o5171v/multiplane-ophys_762818_2024-12-18_11-17-24,False,0,False,0
multiplane-ophys_762818_2024-12-19_11-31-56,s3://aind-private-data-prod-o5171v/multiplane-ophys_762818_2024-12-19_11-31-56,False,0,False,0
multiplane-ophys_774936_2024-12-31_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_774936_2024-12-31_15-30-39,False,0,False,0
multiplane-ophys_774936_2025-01-03_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_774936_2025-01-03_15-30-39,False,0,False,0
multiplane-ophys_774936_2025-01-07_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_774936_2025-01-07_15-30-39,False,0,False,0
multiplane-ophys_774936_2025-01-14_15-30-39,s3://aind-private-data-prod-o5171v/multiplane-ophys_774936_2025-01-14_15-30-39,False,0,False,0
multiplane-ophys_775682_2025-02-18_09-27-51,s3://aind-private-data-prod-o5171v/multiplane-ophys_775682_2025-02-18_09-27-51,False,0,False,0
multiplane-ophys_775682_2025-02-19_09-21-56,s3://aind-open-data/multiplane-ophys_775682_2025-02-19_09-21-56,False,0,False,0
multiplane-ophys_775682_2025-02-20_11-50-32,s3://aind-open-data/multiplane-ophys_775682_2025-02-20_11-50-32,False,0,False,0
multiplane-ophys_775682_2025-02-21_11-01-39,s3://aind-open-data/multiplane-ophys_775682_2025-02-21_11-01-39,False,0,False,0
multiplane-ophys_775682_2025-02-24_09-13-44,s3://aind-open-data/multiplane-ophys_775682_2025-02-24_09-13-44,False,0,False,0
